timestamp,price,MA7,MA30,target_price
2025-04-16,1.167358433250535e-05,1.2004874781173808e-05,1.2502477492167286e-05,1.3565788200503553e-05
2025-04-17,1.1843907082150025e-05,1.1992176215443751e-05,1.246508292437461e-05,1.3539086623202537e-05
2025-04-18,1.1793116043980854e-05,1.201227650344557e-05,1.2439984769987004e-05,1.3767782837029544e-05
2025-04-19,1.2283347585492173e-05,1.2022415686008031e-05,1.2417390246513672e-05,1.4147439377183754e-05
2025-04-20,1.2351618027344314e-05,1.1996200803653409e-05,1.2397294750069348e-05,1.4162006561556682e-05
2025-04-21,1.2349940485017293e-05,1.2041632006533239e-05,1.2391636371350742e-05,1.3458722817977219e-05
2025-04-22,1.2327016933602889e-05,1.2088932927156128e-05,1.2376301112892322e-05,1.371757975538185e-05
2025-04-23,1.3565788200503553e-05,1.2359247765441586e-05,1.239775719245467e-05,1.3405970590066774e-05
2025-04-24,1.3539086623202537e-05,1.2601416271306228e-05,1.2399460025861301e-05,1.3242587223942173e-05
2025-04-25,1.3767782837029544e-05,1.2883511527456044e-05,1.2395708477940742e-05,1.3499111817585899e-05
2025-04-26,1.4147439377183754e-05,1.3149810354840555e-05,1.239324342272993e-05,1.3437733820696843e-05
2025-04-27,1.4162006561556682e-05,1.3408437288299464e-05,1.2397159732487504e-05,1.2993896928298788e-05
2025-04-28,1.3458722817977219e-05,1.3566834764436596e-05,1.2404243357234202e-05,1.2666592220479872e-05
2025-04-29,1.371757975538185e-05,1.3765486596119305e-05,1.2438065473924673e-05,1.2701203519522913e-05
2025-04-30,1.3405970590066774e-05,1.374265550891405e-05,1.247039704609588e-05,1.2746692025851018e-05
2025-05-01,1.3242587223942173e-05,1.3700298451876857e-05,1.2498795451641355e-05,1.2804060472298206e-05
2025-05-02,1.3499111817585899e-05,1.3661916877670621e-05,1.2525717852927918e-05,1.432384082212922e-05
2025-05-03,1.3437733820696843e-05,1.3560530369601062e-05,1.2571045383957064e-05,1.5015653799937135e-05
2025-05-04,1.2993896928298788e-05,1.3393657564849936e-05,1.2597148198681713e-05,1.6912948403257238e-05
2025-05-05,1.2666592220479872e-05,1.3280496050921742e-05,1.2609432257256392e-05,1.58887123947942e-05
2025-05-06,1.2701203519522913e-05,1.3135299445799037e-05,1.262113280289226e-05,1.575692016678931e-05
2025-05-07,1.2746692025851018e-05,1.3041116793768215e-05,1.2670062796377978e-05,1.6334757005263924e-05
2025-05-08,1.2804060472298206e-05,1.2978470114961933e-05,1.2716050996355491e-05,1.5719565434451668e-05
2025-05-09,1.432384082212922e-05,1.309628854418241e-05,1.2838772174650369e-05,1.4804048741541466e-05
2025-05-10,1.5015653799937135e-05,1.332170568407388e-05,1.2941534066572925e-05,1.4591211104915749e-05
2025-05-11,1.6912948403257238e-05,1.3881570180496513e-05,1.3116885212415896e-05,1.4184036506047586e-05
2025-05-12,1.58887123947942e-05,1.4341873062541418e-05,1.3239429848657204e-05,1.4891588364704388e-05
2025-05-13,1.575692016678931e-05,1.4778404012150904e-05,1.3346823114089294e-05,1.4578954112193156e-05
2025-05-14,1.6334757005263924e-05,1.5290984723495607e-05,1.3490250945436141e-05,1.460666588392837e-05
2025-05-15,1.5719565434451668e-05,1.570748543237467e-05,1.3614372776943108e-05,1.4921642552596486e-05
2025-05-16,1.4804048741541466e-05,1.577608656371928e-05,1.3718721590577645e-05,1.5452402455570887e-05
2025-05-17,1.4591211104915749e-05,1.571545189300194e-05,1.3810298391336501e-05,1.4318643139659277e-05
2025-05-18,1.4184036506047586e-05,1.53256073362577e-05,1.388999574007206e-05,1.4371604465764638e-05
2025-05-19,1.4891588364704388e-05,1.518316104624487e-05,1.3976937099379133e-05,1.4474806151513205e-05
2025-05-20,1.4578954112193156e-05,1.5014880181302562e-05,1.4051181635540762e-05,1.4395399345381476e-05
2025-05-21,1.460666588392837e-05,1.4768010021111768e-05,1.4126405815504463e-05,1.4448346546739968e-05
2025-05-22,1.4921642552596486e-05,1.46540210379896e-05,1.4212893336137585e-05,1.4335878954946713e-05
2025-05-23,1.5452402455570887e-05,1.4746642997136662e-05,1.4275780477973162e-05,1.3969376950870743e-05
2025-05-24,1.4318643139659277e-05,1.4707704716385734e-05,1.4301765695188387e-05,1.277673326451012e-05
2025-05-25,1.4371604465764638e-05,1.4734500139202458e-05,1.432189308281289e-05,1.2826423238202146e-05
2025-05-26,1.4474806151513205e-05,1.467495982303229e-05,1.433280530862387e-05,1.2959173017306478e-05
2025-05-27,1.4395399345381476e-05,1.4648737713487763e-05,1.4340585068084698e-05,1.3214736286389558e-05
2025-05-28,1.4448346546739968e-05,1.4626120665317992e-05,1.4373572525710122e-05,1.3048418189094506e-05
2025-05-29,1.4335878954946713e-05,1.4542440151368024e-05,1.439418249902895e-05,1.2815345261417912e-05
2025-05-30,1.3969376950870743e-05,1.433057936498229e-05,1.4412962711055752e-05,1.202100439950341e-05
2025-05-31,1.277673326451012e-05,1.4110306525675267e-05,1.439743424574135e-05,1.2442117309870926e-05
2025-06-01,1.2826423238202146e-05,1.3889566350309195e-05,1.4375011293095223e-05,1.2729138930615728e-05
2025-06-02,1.2959173017306478e-05,1.3673047331136805e-05,1.4359059266315545e-05,1.2489649519810827e-05
2025-06-03,1.3214736286389558e-05,1.3504381179852248e-05,1.4366420578251905e-05,1.3129497402003452e-05
2025-06-04,1.3048418189094506e-05,1.3304391414474324e-05,1.4379148110539059e-05,1.3351032766292754e-05
2025-06-05,1.2815345261417912e-05,1.308717231539878e-05,1.4382952835268891e-05,1.2961766430673843e-05
2025-06-06,1.202100439950341e-05,1.2808833379489162e-05,1.435876324772397e-05,1.2247545379972967e-05
2025-06-07,1.2442117309870926e-05,1.2761031100254989e-05,1.4346698475643063e-05,1.2088844011434911e-05
2025-06-08,1.2729138930615728e-05,1.2747133342028359e-05,1.4293541745925945e-05,1.2057319451518767e-05
2025-06-09,1.2489649519810827e-05,1.2680058556671838e-05,1.420934160325507e-05,1.203148931745798e-05
2025-06-10,1.3129497402003452e-05,1.266788157318811e-05,1.4083226569879942e-05,1.1945702238227027e-05
2025-06-11,1.3351032766292754e-05,1.2711112227073572e-05,1.3998637248929894e-05,1.1645235179203324e-05
2025-06-12,1.2961766430673843e-05,1.2732029536967278e-05,1.3905465457726046e-05,1.167391341191994e-05
2025-06-13,1.2247545379972967e-05,1.2764392534177214e-05,1.3769225070216347e-05,1.1578238647369298e-05
2025-06-14,1.2088844011434911e-05,1.2713924920114927e-05,1.3648201022782454e-05,1.1302768327070413e-05
2025-06-15,1.2057319451518767e-05,1.2617950708815361e-05,1.3556643379781699e-05,1.0803976625951147e-05
2025-06-16,1.203148931745798e-05,1.2552499251336383e-05,1.3471319320199773e-05,1.0588172760271078e-05
2025-06-17,1.1945702238227027e-05,1.2383385656511178e-05,1.3396708177939086e-05,1.160704298765408e-05
